iter	Passed	Remaining
402	13461	3240
403	13494	3206
404	13527	3173
405	13560	3139
406	13593	3106
407	13626	3072
408	13659	3039
409	13691	3005
410	13724	2972
411	13790	2945
412	13829	2913
413	13862	2879
414	13895	2846
415	13929	2812
416	13961	2778
417	13995	2745
418	14028	2711
419	14061	2678
420	14093	2644
421	14126	2611
422	14158	2577
423	14191	2543
424	14223	2510
425	14256	2476
426	14289	2442
427	14322	2409
428	14355	2375
429	14388	2342
430	14421	2308
431	14454	2275
432	14487	2241
433	14521	2208
434	14553	2174
435	14587	2141
436	14619	2107
437	14652	2074
438	14685	2040
439	14718	2007
440	14751	1973
441	14788	1940
442	14823	1907
443	14856	1873
444	14888	1840
445	14922	1806
446	14955	1773
447	14988	1739
448	15020	1706
449	15054	1672
450	15087	1639
451	15120	1605
452	15152	1572
453	15186	1538
454	15218	1505
455	15251	1471
456	15284	1438
457	15317	1404
458	15349	1371
459	15382	1337
460	15415	1304
461	15449	1270
462	15481	1237
463	15514	1203
464	15547	1170
465	15580	1136
466	15613	1103
467	15647	1069
468	15681	1036
469	15715	1003
470	15747	969
471	15780	936
472	15814	902
473	15847	869
474	15880	835
475	15913	802
476	15945	768
477	15979	735
478	16011	701
479	16048	668
480	16081	635
481	16113	601
482	16146	568
483	16184	535
484	16216	501
485	16249	468
486	16282	434
487	16316	401
488	16349	367
489	16382	334
490	16415	300
491	16449	267
492	16482	234
493	16516	200
494	16548	167
495	16581	133
496	16615	100
497	16648	66
498	16680	33
499	16717	0
